"","Ara-1","Rep-3","Alg-2","Ara-2","Art-1","Alg-3","Ara-3","Art-2","Ari-1","Art-3","Ari-2","Arc-1","Ari-3","Arc-2","Rep-1","Arc-3","Rep-2","Alg-1"
"Ara-1",NA,0.14284945637417,0.0884885832905042,0.0246504076413595,0.113086055480203,0.0969805634581906,0.0242811112136672,0.11302086638358,0.0895979173527205,0.124116077406104,0.0947664899674239,0.0987795007612036,0.08103400450306,0.0852747677239764,0.129033657969362,0.0888299068002365,0.126469503017902,0.0838567190463819
"Rep-3",0.14284945637417,NA,0.160125590009034,0.14903238509451,0.201867273363864,0.162485961996881,0.14290052336174,0.197807937111561,0.165851541098529,0.206385513406792,0.162520977916684,0.168237827295622,0.161145908831331,0.162835602579322,0.0342916353662667,0.161793122788361,0.0286227024167434,0.157802913408507
"Alg-2",0.0884885832905042,0.160125590009034,NA,0.0939386553841156,0.122701331137837,0.0241324137482512,0.0875222960142738,0.120545904726699,0.122291575220763,0.129270992184479,0.124948195278775,0.0711343128654712,0.112845143116031,0.0610437193253032,0.146879395363933,0.0625716877496006,0.143159924015638,0.0122157717487088
"Ara-2",0.0246504076413595,0.14903238509451,0.0939386553841156,NA,0.118608147739481,0.10208946228265,0.0220428761829445,0.117351565519587,0.0946582500652648,0.130362717078272,0.0992084906922608,0.105371536216393,0.0849149379018786,0.0941499083071918,0.125949519026016,0.0965900056381243,0.131332733543701,0.0898726906804967
"Art-1",0.113086055480203,0.201867273363864,0.122701331137837,0.118608147739481,NA,0.132007066863815,0.121267166772717,0.0104730585342329,0.155953357484377,0.0131018643309678,0.165046750328382,0.148666043551364,0.14438746591649,0.136375952170595,0.189377317441587,0.136185178837883,0.188732170467673,0.11789872353132
"Alg-3",0.0969805634581906,0.162485961996881,0.0241324137482512,0.10208946228265,0.132007066863815,NA,0.0959526528333299,0.128894371706469,0.123509391805347,0.137949033161583,0.115858394487776,0.05866360592734,0.122738380223766,0.0720326561886094,0.15632743571118,0.074422252099847,0.153801041000131,0.0247088976178744
"Ara-3",0.0242811112136672,0.14290052336174,0.0875222960142738,0.0220428761829445,0.121267166772717,0.0959526528333299,NA,0.118600242195169,0.0946727600256651,0.130698678771518,0.101453317911853,0.0946315609615575,0.0862469616597227,0.0830859802937584,0.121248093071694,0.0865536107129167,0.127916677052094,0.0836722061649493
"Art-2",0.11302086638358,0.197807937111561,0.120545904726699,0.117351565519587,0.0104730585342329,0.128894371706469,0.118600242195169,NA,0.153045238604565,0.0129775019262547,0.162430001964205,0.146193121682774,0.142366718126836,0.134412800309137,0.184808072083818,0.134737324282188,0.184892074823623,0.116555430851893
"Ari-1",0.0895979173527205,0.165851541098529,0.122291575220763,0.0946582500652648,0.155953357484377,0.123509391805347,0.0946727600256651,0.153045238604565,NA,0.163597653403792,0.0327352144703882,0.128300520297816,0.0232784094251813,0.123945706234906,0.157018888597182,0.123469063222011,0.154253967808251,0.117779921088862
"Art-3",0.124116077406104,0.206385513406792,0.129270992184479,0.130362717078272,0.0131018643309678,0.137949033161583,0.130698678771518,0.0129775019262547,0.163597653403792,NA,0.172515430845583,0.155668437503255,0.151827646061061,0.143467784355209,0.193592303931942,0.142629661444228,0.194381554402911,0.125122862089055
