"","Alg-1","Alg-2","Alg-3","Ara-1","Ara-2","Ara-3","Arc-1","Arc-2","Arc-3","Ari-1","Ari-2","Ari-3","Art-1","Art-2","Art-3","Rep-1","Rep-3"
"Alg-1",NA,0.00588930855479787,0.0061486198456124,0.044400896217819,0.0431199337067403,0.055323038769515,0.0358179934766321,0.0325757402606046,0.0343386245663523,0.052250554510097,0.0632515357372351,0.0459704223374658,0.041922207570407,0.103626698915495,0.0357983714698514,0.137886178244525,0.115328685161173
"Alg-2",0.00588930855479787,NA,0.0101526526472027,0.0517882694229622,0.0485165985505484,0.0664468776400962,0.0343363286534769,0.0349352710187157,0.0511544924657952,0.0450621609613606,0.0603405860359968,0.0487543989485361,0.0699916916182226,0.138924596651174,0.0546874070882915,0.126507697988112,0.106239117683
"Alg-3",0.0061486198456124,0.0101526526472027,NA,0.0488876229933558,0.04566389814092,0.0620090084739259,0.0417680902967636,0.0422516837243412,0.0489408482316472,0.0491946835169703,0.0746439742474183,0.0561248706911431,0.052818446213312,0.127882437566479,0.0400404222846043,0.138974226114059,0.118655740530558
"Ara-1",0.044400896217819,0.0517882694229622,0.0488876229933558,NA,-0.00223723615542069,0.0058525494193051,0.0183324267542894,0.0165179707824567,0.0189314246758702,0.0184135232968473,0.0235158044767029,0.0202755770798343,0.0656084700990217,0.112241899858823,0.0642290900806302,0.111584591445175,0.0710029155518871
"Ara-2",0.0431199337067403,0.0485165985505484,0.04566389814092,-0.00223723615542069,NA,-0.0010967354224601,0.0236327672966619,0.0274746704785842,0.0302031822585785,0.0157744106028122,0.0263609877897751,0.0150087543239015,0.0619654822699281,0.114433952713535,0.0636985941538644,0.109400162495094,0.0560108074527082
"Ara-3",0.055323038769515,0.0664468776400962,0.0620090084739259,0.0058525494193051,-0.0010967354224601,NA,0.0423018536892544,0.032909144302547,0.0386245842644739,0.0345418705810462,0.0197508472270159,0.0128255580099865,0.0608197966806525,0.106559436653586,0.0610077238839312,0.115169195871956,0.0706298514888704
"Arc-1",0.0358179934766321,0.0343363286534769,0.0417680902967636,0.0183324267542894,0.0236327672966619,0.0423018536892544,NA,-0.00102326934943528,0.00664395886907203,0.0118834698425428,0.0286529651192083,0.0192224853141591,0.0715498556064561,0.128109563150974,0.0690494467737149,0.135148728583453,0.100571189292283
"Arc-2",0.0325757402606046,0.0349352710187157,0.0422516837243412,0.0165179707824567,0.0274746704785842,0.032909144302547,-0.00102326934943528,NA,0.00605362813340061,0.0220403283017278,0.0130016278775868,0.0177813203932482,0.0654878030270385,0.109037595887101,0.0632248716831328,0.124476885725746,0.104307190028214
"Arc-3",0.0343386245663523,0.0511544924657952,0.0489408482316472,0.0189314246758702,0.0302031822585785,0.0386245842644739,0.00664395886907203,0.00605362813340061,NA,0.034027524326951,0.0405543531474592,0.0327543289769547,0.0625270795394429,0.0963426623925671,0.0680777145307186,0.11958403988036,0.105044464713903
"Ari-1",0.052250554510097,0.0450621609613606,0.0491946835169703,0.0184135232968473,0.0157744106028122,0.0345418705810462,0.0118834698425428,0.0220403283017278,0.034027524326951,NA,0.014191437080916,-0.00193309670135748,0.0931931948952781,0.146021935812328,0.0791653887031464,0.12446881860534,0.102053206991227
"Ari-2",0.0632515357372351,0.0603405860359968,0.0746439742474183,0.0235158044767029,0.0263609877897751,0.0197508472270159,0.0286529651192083,0.0130016278775868,0.0405543531474592,0.014191437080916,NA,0.00254212505387869,0.082545595503551,0.132301195566584,0.0710428807845963,0.112364351706135,0.102444612383092
"Ari-3",0.0459704223374658,0.0487543989485361,0.0561248706911431,0.0202755770798343,0.0150087543239015,0.0128255580099865,0.0192224853141591,0.0177813203932482,0.0327543289769547,-0.00193309670135748,0.00254212505387869,NA,0.0795987555720594,0.122691384553838,0.0666027487585602,0.110461643179702,0.0702865456316208
"Art-1",0.041922207570407,0.0699916916182226,0.052818446213312,0.0656084700990217,0.0619654822699281,0.0608197966806525,0.0715498556064561,0.0654878030270385,0.0625270795394429,0.0931931948952781,0.082545595503551,0.0795987555720594,NA,0.0388149531780733,0.00253591529135764,0.141854722958461,0.145334831809522
"Art-2",0.103626698915495,0.138924596651174,0.127882437566479,0.112241899858823,0.114433952713535,0.106559436653586,0.128109563150974,0.109037595887101,0.0963426623925671,0.146021935812328,0.132301195566584,0.122691384553838,0.0388149531780733,NA,0.0602016601324791,0.164937875625398,0.181519806261992
"Art-3",0.0357983714698514,0.0546874070882915,0.0400404222846043,0.0642290900806302,0.0636985941538644,0.0610077238839312,0.0690494467737149,0.0632248716831328,0.0680777145307186,0.0791653887031464,0.0710428807845963,0.0666027487585602,0.00253591529135764,0.0602016601324791,NA,0.12717517872633,0.135334353476302
"Rep-1",0.137886178244525,0.126507697988112,0.138974226114059,0.111584591445175,0.109400162495094,0.115169195871956,0.135148728583453,0.124476885725746,0.11958403988036,0.12446881860534,0.112364351706135,0.110461643179702,0.141854722958461,0.164937875625398,0.12717517872633,NA,0.108453627091378
"Rep-3",0.115328685161173,0.106239117683,0.118655740530558,0.0710029155518871,0.0560108074527082,0.0706298514888704,0.100571189292283,0.104307190028214,0.105044464713903,0.102053206991227,0.102444612383092,0.0702865456316208,0.145334831809522,0.181519806261992,0.135334353476302,0.108453627091378,NA
