@HD	VN:1.6	SO:coordinate
@SQ	SN:chr1	LN:271869632
@SQ	SN:chr2	LN:333278994
@SQ	SN:chr3	LN:354057947
@SQ	SN:chr4	LN:406068450
@SQ	SN:chr5	LN:267972009
@SQ	SN:chr6	LN:274013502
@SQ	SN:chr7	LN:334192843
@SQ	SN:unplaced8	LN:20000
@SQ	SN:unplaced9	LN:20000
@SQ	SN:unplaced10	LN:350000
@SQ	SN:unplaced11	LN:452637
@SQ	SN:unplaced12	LN:395302
@SQ	SN:unplaced13	LN:923401
@SQ	SN:unplaced14	LN:252848
@SQ	SN:unplaced15	LN:20000
@SQ	SN:unplaced16	LN:20000
@SQ	SN:unplaced17	LN:270399
@SQ	SN:unplaced18	LN:1019819
@SQ	SN:unplaced19	LN:20000
@SQ	SN:unplaced20	LN:20000
@SQ	SN:unplaced21	LN:20000
@SQ	SN:unplaced22	LN:320000
@SQ	SN:unplaced23	LN:290000
@SQ	SN:unplaced24	LN:20000
@SQ	SN:unplaced25	LN:1280000
@SQ	SN:unplaced26	LN:1729999
@SQ	SN:unplaced27	LN:20000
@SQ	SN:unplaced28	LN:850000
@SQ	SN:unplaced29	LN:20000
@SQ	SN:unplaced30	LN:20000
@SQ	SN:unplaced31	LN:20000
@SQ	SN:unplaced32	LN:20000
@SQ	SN:unplaced33	LN:909999
@SQ	SN:unplaced34	LN:20000
@SQ	SN:unplaced35	LN:286616
@SQ	SN:unplaced36	LN:20000
@SQ	SN:unplaced37	LN:20000
@SQ	SN:unplaced38	LN:20000
@SQ	SN:unplaced39	LN:419999
@SQ	SN:unplaced40	LN:20000
@SQ	SN:unplaced41	LN:20000
@SQ	SN:unplaced42	LN:270000
@SQ	SN:unplaced43	LN:493533
@SQ	SN:unplaced44	LN:476377
@SQ	SN:unplaced45	LN:463573
@SQ	SN:unplaced46	LN:444287
@SQ	SN:unplaced47	LN:436079
@SQ	SN:unplaced48	LN:414357
@SQ	SN:unplaced49	LN:387690
@SQ	SN:unplaced50	LN:352443
@SQ	SN:unplaced51	LN:352339
@SQ	SN:unplaced52	LN:350671
@SQ	SN:unplaced53	LN:345078
@SQ	SN:unplaced54	LN:337908
@SQ	SN:unplaced55	LN:331556
@SQ	SN:unplaced56	LN:330334
@SQ	SN:unplaced57	LN:319728
@SQ	SN:unplaced58	LN:315565
@SQ	SN:unplaced59	LN:305629
@SQ	SN:unplaced60	LN:286413
@SQ	SN:unplaced61	LN:275522
@SQ	SN:unplaced62	LN:265619
@SQ	SN:unplaced63	LN:248565
@SQ	SN:unplaced64	LN:234007
@SQ	SN:unplaced65	LN:232863
@SQ	SN:unplaced66	LN:219725
@SQ	SN:unplaced67	LN:189236
@SQ	SN:unplaced68	LN:185451
@SQ	SN:unplaced69	LN:184256
@SQ	SN:unplaced70	LN:166711
@SQ	SN:unplaced71	LN:109999
@SQ	SN:unplaced72	LN:106720
@SQ	SN:unplaced73	LN:106359
@SQ	SN:unplaced74	LN:90386
@SQ	SN:unplaced75	LN:69708
@SQ	SN:unplaced76	LN:67929
@SQ	SN:unplaced77	LN:50303
@SQ	SN:unplaced78	LN:20000
@SQ	SN:unplaced79	LN:20000
@SQ	SN:unplaced80	LN:20000
@SQ	SN:unplaced81	LN:20000
@SQ	SN:unplaced82	LN:20000
@SQ	SN:unplaced83	LN:20000
@SQ	SN:unplaced84	LN:20000
@SQ	SN:unplaced85	LN:20000
@SQ	SN:unplaced86	LN:20000
@SQ	SN:unplaced87	LN:20000
@SQ	SN:unplaced88	LN:20000
@SQ	SN:unplaced89	LN:20000
@SQ	SN:unplaced90	LN:20000
@SQ	SN:unplaced91	LN:20000
@SQ	SN:unplaced92	LN:20000
@SQ	SN:unplaced93	LN:20000
@SQ	SN:unplaced94	LN:20000
@SQ	SN:unplaced95	LN:20000
@SQ	SN:unplaced96	LN:250000
@SQ	SN:unplaced97	LN:250000
@SQ	SN:unplaced98	LN:400000
@SQ	SN:unplaced99	LN:250000
@SQ	SN:unplaced100	LN:250000
@SQ	SN:unplaced101	LN:250000
@SQ	SN:unplaced102	LN:250000
@SQ	SN:unplaced103	LN:850000
@SQ	SN:unplaced104	LN:250000
@PG	ID:minimap2	PN:minimap2	VN:2.17-r941	CL:minimap2 -ax sr /cluster/home/dkaech/amplicon_sequencing/01_Data/Kyuss_yutang.mmi P01-B03-P-Alg-3_R1_clipped_passed-re-filter.fastq
@PG	ID:samtools	PN:samtools	PP:minimap2	VN:1.15.1	CL:samtools view -Sb -F 260 P01-B03-P-Alg-3_R1_clipped_passed-re-filter.sam
@PG	ID:samtools.1	PN:samtools	PP:samtools	VN:1.15.1	CL:samtools sort -
@PG	ID:samtools.2	PN:samtools	PP:samtools.1	VN:1.21	CL:samtools view -H 01_01_bam_sorted/P01-B03-P-Alg-3_R1_clipped_passed-re-filter_sorted.bam
