@HD	VN:1.6	SO:coordinate
@SQ	SN:Fp_ortho-1019	LN:408
@SQ	SN:Ph_ortho-1019	LN:409
@SQ	SN:Fr_ortho-1019	LN:324
@SQ	SN:Dg_ortho-1019	LN:409
@SQ	SN:Lm_ortho-1019	LN:407
@SQ	SN:Tf_ortho-1019	LN:408
@SQ	SN:Lp_ortho-1019	LN:409
@SQ	SN:Ap_ortho-1019	LN:409
@SQ	SN:Pp_ortho-1019	LN:409
@SQ	SN:Cc_ortho-1019	LN:405
@SQ	SN:Ae_ortho-1019	LN:410
@SQ	SN:Fp_uce-11004158	LN:582
@SQ	SN:Ph_uce-11004158	LN:580
@SQ	SN:Fr_uce-11004158	LN:584
@SQ	SN:Dg_uce-11004158	LN:583
@SQ	SN:Lm_uce-11004158	LN:582
@SQ	SN:Tf_uce-11004158	LN:583
@SQ	SN:Lp_uce-11004158	LN:584
@SQ	SN:Ap_uce-11004158	LN:580
@SQ	SN:Pp_uce-11004158	LN:580
@SQ	SN:Cc_uce-11004158	LN:583
@SQ	SN:Ae_uce-11004158	LN:583
@SQ	SN:Fp_uce-11004502	LN:268
@SQ	SN:Ph_uce-11004502	LN:393
@SQ	SN:Fr_uce-11004502	LN:272
@SQ	SN:Dg_uce-11004502	LN:272
@SQ	SN:Lm_uce-11004502	LN:272
@SQ	SN:Tf_uce-11004502	LN:259
@SQ	SN:Lp_uce-11004502	LN:273
@SQ	SN:Ap_uce-11004502	LN:275
@SQ	SN:Pp_uce-11004502	LN:274
@SQ	SN:Cc_uce-11004502	LN:274
@SQ	SN:Ae_uce-11004502	LN:259
@SQ	SN:Fp_uce-11004715	LN:392
@SQ	SN:Ph_uce-11004715	LN:391
@SQ	SN:Fr_uce-11004715	LN:420
@SQ	SN:Dg_uce-11004715	LN:393
@SQ	SN:Lm_uce-11004715	LN:391
@SQ	SN:Lp_uce-11004715	LN:392
@SQ	SN:Ap_uce-11004715	LN:392
@SQ	SN:Pp_uce-11004715	LN:426
@SQ	SN:Cc_uce-11004715	LN:392
@SQ	SN:Tf_uce-11004715	LN:391
@SQ	SN:Fp_uce-11005008	LN:465
@SQ	SN:Ph_uce-11005008	LN:455
@SQ	SN:Fr_uce-11005008	LN:465
@SQ	SN:Dg_uce-11005008	LN:465
@SQ	SN:Lm_uce-11005008	LN:465
@SQ	SN:Tf_uce-11005008	LN:465
@SQ	SN:Lp_uce-11005008	LN:465
@SQ	SN:Ap_uce-11005008	LN:465
@SQ	SN:Pp_uce-11005008	LN:240
@SQ	SN:Cc_uce-11005008	LN:465
@SQ	SN:Ae_uce-11005008	LN:465
@SQ	SN:Fp_uce-11005009	LN:482
@SQ	SN:Ph_uce-11005009	LN:482
@SQ	SN:Fr_uce-11005009	LN:482
@SQ	SN:Dg_uce-11005009	LN:482
@SQ	SN:Lm_uce-11005009	LN:482
@SQ	SN:Tf_uce-11005009	LN:482
@SQ	SN:Lp_uce-11005009	LN:482
@SQ	SN:Ap_uce-11005009	LN:482
@SQ	SN:Pp_uce-11005009	LN:482
@SQ	SN:Cc_uce-11005009	LN:482
@SQ	SN:Ae_uce-11005009	LN:444
@SQ	SN:Fp_uce-11005138	LN:552
@SQ	SN:Ph_uce-11005138	LN:566
@SQ	SN:Fr_uce-11005138	LN:554
@SQ	SN:Dg_uce-11005138	LN:553
@SQ	SN:Lm_uce-11005138	LN:552
